address, district
"C3308, 馬鞍山郊遊徑, 馬鞍山, Sha Tin, 新界", Sha Tin
"西貢污水處理廠, 華福街, 大湖角, 西貢, Sai Kung, 新界", Sai Kung
"青山公路－汀九段, 汀九, 深井新村, Tsuen Wan, 新界", Tsuen Wan
"M176, 麥理浩徑第10段, 小欖, Tuen Mun, 新界", Tuen Mun
"吐露港公路, 山頂花園, 下碗窰, 半山洲, Tai Po, 新界", Tai Po
"尖山隧道, 六合村, 顯田村, Sha Tin, 新界", Sha Tin
"大埔鐵路碼頭, Tai Po單車主幹綫, 山頂花園, 大埔滘老圍, 大埔, Tai Po, 新界", Tai Po
"Lower Ho Pui Bike Trail, 河背, Yuen Long, 新界", Yuen Long
"北港路, 北港, 西貢, Sai Kung, 新界", Sai Kung
"麥理浩徑第5段, 下徑口, Sha Tin, 新界", Sha Tin
"躉場路, 躉場上村, 西貢, Sai Kung, 新界", Sai Kung
"牛欄咀, 珀麗路, 馬灣 Ma Wan, 深井村, Tsuen Wan, 新界", Tsuen Wan
"麥理浩徑第2段, 赤徑, Tai Po, 新界", Tai Po
"鹽田梓, Sai Kung, 新界", Sai Kung
"和合石路, 和合石, 和合石村, North, 新界", North
"深涌灣, 荔枝莊地質步道, 荔枝莊, Tai Po, 新界", Tai Po
"禾萬古道, 梧桐寨, 大埔頭, Tai Po, 新界", Tai Po
"望后脊, 望后石谷, 沙埔崗, Tuen Mun, 新界", Tuen Mun
"大埔滘林道－滘鉛段, 打鐵屻, 半山洲, Tai Po, 新界", Tai Po
"Landslide bypass, 搖斗坪, 九肚, Sha Tin, 新界", Sha Tin
"圓墩郊遊徑, 青龍頭, 深井村, Tsuen Wan, 新界", Tsuen Wan
"黃石家樂徑, 土瓜坪, Tai Po, 新界", Tai Po
"元荃古道, 油柑頭村, 荃灣, Tsuen Wan, 新界", Tsuen Wan
"翠柏路, 加州花園, 新田, Yuen Long, 新界", Yuen Long
"康富路, 蕉坑, 西貢, Sai Kung, 新界", Sai Kung
"南丫, 西貢, Sai Kung, 新界", Sai Kung
"掃管笏村, 小秀, Tuen Mun, 新界", Tuen Mun
"鹿湖郊遊徑, Tai Po, 新界", Tai Po
"邊境路, 天水圍, Yuen Long, 新界", Yuen Long
"四城林徑, Tsuen Wan, 新界", Tsuen Wan
"荃灣鐵路站, 西樓角路, 木棉下村, 荃灣, Tsuen Wan, 新界", Tsuen Wan
"月牙谷, 花朗古道 Fa Long Ancient Trail, 大冷水, 龍鼓灘, 北朗, Tuen Mun, 新界", Tuen Mun
"大灘郊遊徑, 大灘, Tai Po, 新界", Tai Po
"青山公路－青龍頭段, 青龍頭, 深井村, Tsuen Wan, 新界", Tsuen Wan
"屏會中心, 13-17, 屏會街, 水田村, 水邊村, 元朗, Yuen Long, 新界", Yuen Long
"道風山路, 銅鑼灣, 友愛村, 銅鑼灣, Sha Tin, 新界", Sha Tin
"清水灣, 清水灣樹木研習徑, 大環頭, 將軍澳, Sai Kung, 新界", Sai Kung
"北朗, Tuen Mun, 新界", Tuen Mun
"麥理浩徑第10段, 小欖, Tuen Mun, 新界", Tuen Mun
"楊家村, 大棠村, Yuen Long, 新界", Yuen Long
"觀音脊, 布心排, Tai Po, 新界", Tai Po
"大欖涌郊遊徑, 錦田, 元朗, Yuen Long, 新界", Yuen Long
"上禾坑, North, 新界", North
"大埔滘林道－乾坑段, 半山洲, Tai Po, 新界", Tai Po
"城門下村垃圾收集站, 和宜合道, 城門下村, 葵涌, Kwai Tsing, 新界", Kwai Tsing
"糧船灣, Sai Kung, 新界", Sai Kung
"20, 林錦公路, 林村谷, 大埔頭, Tai Po, 新界", Tai Po
"C3108, 大坳門路, 布袋澳, 將軍澳, Sai Kung, 新界", Sai Kung
"北潭路, 北潭凹, Tai Po, 新界", Tai Po
"橫七古道, 下七木橋, North, 新界", North
"北潭路, 高塘下洋, Tai Po, 新界", Tai Po
"城門標本林, 城門林道－標本林段, Tsuen Wan, 新界", Tsuen Wan
"錦龍橋, 大涌橋路, 圓洲角, 多石村, Sha Tin, 新界", Sha Tin
"加多利灣泳灘, 青茵街, 三聖, 屯門南, 屯門, Tuen Mun, 新界", Tuen Mun
"大刀屻徑, 上村, Yuen Long, 新界", Yuen Long
"C3308, 馬鞍山郊遊徑, 馬鞍山, Sha Tin, 新界", Sha Tin
"打鐵屻脊, 打鐵屻, 半山洲, Tai Po, 新界", Tai Po
"衞奕信徑第八段, 鳳園, 大埔, Tai Po, 新界", Tai Po
"屯門徑, 紅橋, 新墟村, 屯門, Tuen Mun, 新界", Tuen Mun
"麥理浩徑第10段, 屯門, Tuen Mun, 新界", Tuen Mun
"麥理浩夫人度假村, 榕北走廊, 榕樹澳, Tai Po, 新界", Tai Po
"冠發街, 樂安排, 小欖新村, 小欖, Tuen Mun, 新界", Tuen Mun
"藝滿至大刀刃, 打石湖石塘, Yuen Long, 新界", Yuen Long
"明愛小塘營, 荔枝莊地質步道, 荔枝莊, Tai Po, 新界", Tai Po
"鳳崗, 上水, North, 新界", North
"Trailhead, 馬鞍山郊遊徑, 黃竹山新村, 西貢, Sai Kung, 新界", Sai Kung
"亞公角山路, 亞公角, 大水坑村, Sha Tin, 新界", Sha Tin
"沙頭角公路－禾坑段, 上禾坑, 南涌, North, 新界", North
"秋楓樹, 鯽魚湖, Sai Kung, 新界", Sai Kung
"Robin""s Nest Jeep Track, 塘肚山村, North, 新界", North
"踏石角渡頭, 龍輝街, 龍鼓灘, 沙埔崗, Tuen Mun, 新界", Tuen Mun
"東華三院馮黃鳳亭中學, 3-5, 瀝源街, 沙田市中心, 沙田, Sha Tin, 新界", Sha Tin
"梧桐河 River Indus (Ng Tung River), 虎地坳道 Fu Tei Au Road, 虎地坳 Fu Tei Au, 上水圍, North, 新界", North
"楊家村, 大棠村, Yuen Long, 新界", Yuen Long
"吉田大廈(第二及三期), 2, 新力街, 屯門工業區, 屯門舊墟, 青山村, Tuen Mun, 新界", Tuen Mun
"大網仔路, 鯽魚湖, Sai Kung, 新界", Sai Kung
"鹹田, Sai Kung, 新界", Sai Kung
"66, 多石村, 插桅杆村, 沙田, Sha Tin, 新界", Sha Tin
"大網仔路, 斬竹灣, 西貢, Sai Kung, 新界", Sai Kung
"大埔滘林道－乾坑段, 半山洲, Tai Po, 新界", Tai Po
"粉錦公路, 橫台山, 上輋, Yuen Long, 新界", Yuen Long
"Firing Range, 比昂大道, 葡萄園, 新田, Yuen Long, 新界", Yuen Long
"馬灣漁民新村, 深井村, Tsuen Wan, 新界", Tsuen Wan
"Block A Tai Lung Veterinary Laboratory, 粉錦公路, 安圃村, 丙崗, North, 新界", North
"清快塘喜香農莊, 大欖隧道, 清快塘, 深井新村, Tsuen Wan, 新界", Tsuen Wan
"麒麟山食水缸, 水務道路 Water Supplied Trail, 長瀝, 蕉徑, North, 新界", North
"望發街, 望后石谷, 沙埔崗, Tuen Mun, 新界", Tuen Mun
"將軍澳, 貓頭鷹脊, 調景嶺, 將軍澳, Sai Kung, 新界", Sai Kung
"東風路, 五源村, 半山洲, Tai Po, 新界", Tai Po
"聯益漁村, 汀角, Tai Po, 新界", Tai Po
"西貢西灣路, 爛泥灣, Sai Kung, 新界", Sai Kung
"上山雞乙, 坪輋, North, 新界", North
"衛奕信徑第8段, 山頂花園, 上碗窰, 半山洲, Tai Po, 新界", Tai Po
"22, 百和路, 吳屋村, 上水, North, 新界", North
"清水灣半島, 駿昇街, 將軍澳工業邨, 大赤沙, 將軍澳, Sai Kung, 新界", Sai Kung
"粉嶺繞道, 安樂村工業區, 崇謙堂村, 龍躍頭, North, 新界", North
"十八鄉, 洪水橋, Yuen Long, 新界", Yuen Long
"深涌, Tai Po, 新界", Tai Po
"大藍湖路, 牛寮, 井欄樹, Sai Kung, 新界", Sai Kung
